Date,Description,Status,Major Rd,Minor Rd,Inconclusive,Cords,Map,Fatal Crash,Fatal Persons,Twp,CVT,Distracted,Driveway Related,Intersection Related,Road side Fixed object,"Human (speeding, Seatbelt, Helmet, Drwosy, imparied, distracted)",Work Zone?,Animal Related?,Left of Center,Alcohol_Drugs,Medical,Gravel,Wet/Snow/Ice,Teen,Pedestrian_Bike,Motorcycle/ATV/Snowmobile,Elderly
1/1/2001,,,,,,,,32,35,,,,,,,,,,,,,,,,,,
1/1/2002,,,,,,,,37,38,,,,,,,,,,,,,,,,,,
1/1/2003,,,,,,,,28,29,,,,,,,,,,,,,,,,,,
1/1/2004,,,,,,,,32,34,,,,,,,,,,,,,,,,,,
1/1/2005,,,,,,,,39,41,,,,,,,,,,,,,,,,,,
1/1/2006,,,,,,,,29,33,,,,,,,,,,,,,,,,,,
1/1/2007,,,,,,,,25,25,,,,,,,,,,,,,,,,,,
1/1/2008,,,,,,,,19,20,,,,,,,,,,,,,,,,,,
2/8/2009,"Pontiac Trail west of West Road, pedestrian hit by two vehicles.",,Pontiac Trail,West Rd,,,,1,1,,,,,,,,,,,,,,,,1,0,
2/27/2009,"Williams Lake Road, near Pirrin Drive, west of Airport Road, two vehicles head on collision.",,Williams Lake Rd,Airport Rd,,,,1,1,,,,,,,,,,,,,,,,0,0,
3/29/2009,"Davisburg Road and Ormond Road intersection (two fatalities), two vehicle crash (angle).",,Davisburg Rd,Ormaond Rd,,,,1,2,,,,,,,,,,,,,,,,0,0,
6/3/2009,"Pontiac Lake Road at Scott Lake Road, west of intersection, single vehicle lost control, run off the road and hit utility pole and a fence.",,Pontiac Lake Rd,Scott Lake,,,,1,1,,,,,,1,,,,,,,,,,0,0,
6/5/2009,"Grass Lake Road, south of Woodland Road, ATV run off the road, hit tree and ejected, hit a second tree.",,Grass Lake,Woodland Rd,,,,1,1,,,,,,1,,,,,,,,,,0,0,
6/8/2009,"Oakwood Road at Legault Boulevard, vehicle stopped on Road for left turning vehicle, rear ended by a truck.",,Oakwood Rd,Legault Blvd,,,,1,1,,,,,,,,,,,,,,,,0,0,
6/19/2009,"Milford Road, south of Davisburg Road, motorcyclist lost control at railroad crossing.",,Milford Rd,Davisburg Rd,,,,1,1,,,,,,,,,,,,,,,,0,1,
6/22/2009,"Bald Eagle Lake Road, near Bird Road, single vehicle lost control, run off the road and struck a tree.",,Bald Eagle Lake Rd,Bird Rd,,,,1,1,,,,,,1,,,,,,,,,,0,0,
7/10/2009,"Baldwin Road and Davison Lake Road intersection, two vehicles, angle crash, fail to yield right of way at a stop sign.",,Baldwin Rd,Davison Lake Rd,,,,1,1,,,,,,,,,,,,,,,,0,0,
8/2/2009,"Sashabaw Road and Flemings Lake Road intersection, two vehicles, angle crash.",,Sashabaw Rd,Flemings Lake Rd,,,,1,1,,,,,,,,,,,,,,,,0,0,
10/7/2009,"East Leonard Road, near Secord Lake Road, single vehicle crash, collided with a tree lying in the road.",,East Leonard Rd,Secord Lake Rd,,,,1,1,,,,,,1,,,,,,,,,,0,0,
10/29/2009,"Pontiac Trail WB at Century Drive, two vehicles, semi-truck stopped to turn left hit in rear by another vehicle driven by intoxicated motorist.",,Pontiac Trail,Century Dr,,,,1,1,,,,,,,,,,,1,,,,,0,0,
11/30/2009,"Crooks Road NB and Long Lake Road WB, two vehicles, angle crash.",,Crooks Rd,Long Lake Rd,,,,1,1,,,,,,,,,,,,,,,,0,0,
12/1/2009,"Jossman Road SB, north of Perryville Road, single vehicle run-off the road and hit a tree.",,Jossman Rd,Perryville Rd,,,,1,1,,,,,,1,,,,,,,,,,0,0,
12/2/2009,"Long Lake Road EB, two vehicles, head-on left turn.",,Long Lake Rd,,,,,1,1,,,,,,,,,,,,,,,,0,0,
12/16/2009,"Hickory Ridge Trail NB, south of General Motors Road, single vehicle run-off the road and hit two trees.",,Hickory Ridge Rd,General Motors,,,,1,1,,,,,,1,,,,,,,,,,0,0,
12/17/2009,"Southfield Road SB, single vehicle run-off the road and hit a tree.",,Southfield Rd,,,,,1,1,,,,,,1,,,,,,,,,,0,0,
12/20/2009,Pedestrian crossing Orchard Lake Road at Powers Road was hit by a northbound vehicle. The pedestrian died in the hospital on 01/15/10.,,Orchard Lake Rd,Powers Rd,,,,1,1,,,,,,,,,,,,,,,,1,0,
1/11/2010,"Joslyn Road NB, south of Clarkston Road, near DNR Lake Sixteen access site. NB vehicle loss control (snow & icy conditions) and crossed centerline, struck by SB vehicle, angle accident. Three fatalities in NB vehicle.",,Joslyn Rd,Clarkston Rd,,,,1,3,,,,,,,,,,,,,,1,,0,0,
2/21/2010,"Lasher Road at Eleven Mile Road, NB motorist travelling at high rate of speed runs red light and hits WB motorist making left turn. Third vehicle also involved. Motorist in first and second vehicle killed.",,Lahser,11 Mile Rd,,,,1,2,,,,,,,1,,,,,,,,,0,0,
3/12/2010,A NB Dequindre Road motorist was killed when making a left turn at Maple Road on the permissive phase and was hit by a SB motorist. Four vehicles were involved.,,Dequindre Rd,Maple Rd,,,,1,1,,,,,,,,,,,,,,,,0,0,
3/17/2010,"Motorist WB on Commerce Road, west of Harold Avenue was killed when he lost control and hit a tree fleeing the seen of another accident.",,Commerce Rd,Harold Ave,,,,1,1,,,,,,1,,,,,,,,,,0,0,
4/1/2010,"Grand River Avenue near Napier Road, EB car crossed centerline and hit by WB truck. Passenger in the car was killed.",,Grand River Ave,Napier Rd,,,,1,1,,,,,,,,,,,,,,,,0,0,
4/13/2010,"Wixom Road near West Road, NB truck crossed centerline and hit by SB Wixom Road vehicle. Driver of vehicle heading southbound was killed.",,Wixom Rd,West Rd,,,,1,1,,,,,,,,,,,,,,,,0,0,
4/21/2010,A motorist EB on Maple Road at Wixom Road entered the intersection on the red indication and hit a NB motorist. The driver of the NB Wixom Road Vehicle died in the hospital 11 days after the accident.,,Maple Rd,Wixom Rd,,,,1,1,,,,,,,,,,,,,,,,0,0,
4/26/2010,"Livernois Road north of Big Beaver Road, SB motorcyclist killed when he hit a car that pulled out in front of him from the northern most driveway of the Liberty Center.",,Livernois Rd,Big Beaver Rd,,,,1,1,,,,,,,,,,,,,,,,0,1,
6/23/2010,Dequindre Road and Fourteen Mile Road. Bicyclist hit by two different vehicles.,,Dequindre Rd,14 Mile Rd,,,,1,1,,,,,,,,,,,,,,,,1,0,
6/30/2010,EB Long Lake Road near Kensington Road. Motorist struck tree and was killed.,,Long Lake Rd,Kensington Rd,,,,1,1,,,,,,1,,,,,,,,,,0,0,
6/30/2010,"Sheldon Road at Snell Road, NB unlicensed underage motorist disregarded stop sign and hit a WB motorist, killing the driver.",,Sheldon Rd,Snell,,,,1,1,,,,,,,,,,,,,,,,0,0,
7/25/2010,"Motorist on SB Middlebelt Road changed lanes at a high rate of speed into the northbound lane, struck and killed a bicyclist near Linden Street.",,Middlebelt Rd,Linden St,,,,1,1,,,,,,,1,,,,,,,,,1,0,
8/6/2010,"Motorist on EB Pontiac Trail, east of Bradford (e/o Martindale Road), turned left into driveway in front of EB motorcyclist. Driver of Motorcycle was killed and passenger died 3 days later.",,Pontiac Trail,Martindale,,,,1,2,,,,,,,,,,,,,,,,0,1,
8/13/2010,"Motorist WB Stoney Creek Road, west of Rochester Road was killed when she lost control and hit a tree.",,Stoney Creek Rd,Rochester Rd,,,,1,1,,,,,,1,,,,,,,,,,0,0,
8/27/2010,Motorist travelling westbound on Twelve Road at Stansbury Boulevard crossed the centerline and hit eastbound vehicle head on. Passenger in westbound vehicle was killed.,,12 Mile Rd,Stansbury Blvd,,,,1,1,,,,,,,,,,,,,,,,0,0,
10/3/2010,Motorist travelling northbound Milford Road died the next day after they turned left at Mill River Boulevard and hit a southbound Milford Road vehicle.,,Milford Rd,Mill River Bld,,,,1,1,,,,,,,,,,,,,,,,0,0,
10/17/2010,Motorist travelling southeasterly on Andersonville Road near Northwest Court hit and killed a pedestrian walking along the road.,,Andersonville Rd,Northwest Ct,,,,1,1,,,,,,,,,,,,,,,,1,0,
11/8/2010,"NB Orchard Lake Road, north of Northwestern Highway a motorist hit and killed a pedestrian that was walking in the middle of the road.",,Orchard Lake Rd,Northwestern Hwy,,,,1,1,,,,,,,,,,,,,,,,1,0,
11/9/2010,WB Motorist on Grange Hall Road west of North Saginaw Road/North Holly Road hit and killed a pedestrian crossing the Road west of the intersection.,,Grange Hall Rd,North Saginaw Rd,,,,1,1,,,,,,,,,,,,,,,,1,0,
12/6/2010,NB Hickory Ridge near Dunham Road motorist was killed when they ran off the road and hit a tree.,,Hickory Ridge Rd,Dunham Rd,,,,1,1,,,,,,1,,,,,,,,,,0,0,
12/7/2010,Pedestrian was killed at the intersection of Haggerty Road and Ten Mile Road when they were hit by a vehicle. They were crossing Ten Mile Road on the east leg.,,Haggerty Rd,10 Mile Rd,,,,1,1,,,,,,,,,,,,,,,,1,0,
1/16/2011,"Motorist travelling SB Dequindre Road, south of Square Lake/19 Mile Road started passing another SB vehicle, hit this vehicle first and then hit a NB vehicle head-on killing the driver of the NB vehicle. Alcohol was a factor in the crash.",,Dequindre Rd,Square Lake Rd,,,,1,1,,,,,,,,,,,1,,,,,0,0,
1/19/2011,Motorist travelling SB Dequindre Road just north of Long Lake Road lost a load from the bed of his pickup truck. He turned around and returned to retrieve his belongings. After exiting his vehicle he was hit by a SB motorist and was killed.  The SB motorist did not stop at the scene of the accident.,,Dequindre Rd,Long Lake Rd,,,,1,1,,,,,,,,,,,,,,,,0,0,
1/23/2011,Motorist travelling SB on Duck Lake Road south of Engleman Road was killed when he lost control of his vehicle and hit a tree. Alcohol and/or drugs may have been a factor in the crash.,,Duck Lake Rd,Engleman Rd,,,,1,1,,,,,,1,,,,,1,,,,,0,0,
1/25/2011,"Motorist travelling NB Milford Road, south of I-96 was killed when he drifted left of the centerline and hit a SB vehicle head-on. Police said he may have suffered a medical problem that resulted in the accident.",,Milford Rd,I-96,,,,1,1,,,,,,,,,,,,,,,,0,0,
2/10/2011,"Motorist travelling SB Williams Lake Road, just south of Kenwick hit two pedestrians walking in the road. One pedestrian was killed.",,Williams Lake Rd,Kenwick,,,,1,1,,,,,,,,,,,,,,,,1,0,
3/1/2011,"Motorist travelling SB Baldwin Road, south of High View Drive (south of Drahner road) ran off the road into the ditch, struck a large rock and then a utility pole. The driver died 5 days later in the hospital.",,Baldwin Rd,Drahner Rd,,,,1,1,,,,,,1,,,,,,,,,,0,0,
3/6/2011,"A motorist travelling WB Eight Mile Road, west of Beck Road near Westview Drive crossed the centerline and crashed into an EB vehicle killing the driver.",,8 Mile Rd,Beck Rd,,,,1,1,,,,,,,,,,,,,,,,0,0,
3/14/2011,"Motorist travelling WB Williams Lake Road, just east of Manila Court (east of Sashabaw Road) hit and killed a pedestrian walking in the center of the road.",,Williams Lake Rd,Sashabaw Rd,,,,1,1,,,,,,,,,,,,,,,,1,0,
3/17/2011,Pedestrian walking on Cass Elizabeth Road near Iroquois Street was hit by a motorist and killed.,,Cass Elizabeth Rd,Iroquois St,,,,1,1,,,,,,,,,,,,,,,,1,0,
3/20/2011,One motorist was killed when three vehicles were involved in a crash at the intersection of 12 Mile Road and Greenfield Road.,,12 Mile Rd,Greenfield,,,,1,1,,,,,,,,,,,,,,,,0,0,
